Year	Month	Anomaly
1790	5	-1.146
1790	6	0.212
1790	7	-1.419
1790	8	-1.266
1790	9	-0.76
1790	10	-1.375
1790	11	-0.986
1790	12	2.632
1791	1	3.726
1791	2	4.27
1791	3	0.411
1791	4	1.156
1791	5	-2.545
1791	6	0.869
1791	7	-0.643
1791	8	-0.199
1791	9	-0.884
1791	10	-1.071
1791	11	0.045
1791	12	2.584
1792	1	-3.421
1792	2	-0.066
1792	3	-1.138
1792	4	-1.442
1792	5	-0.203
1792	6	0.923
1792	7	1.837
1792	8	-0.855
1792	9	2.886
1792	10	-2.276
1792	11	-1.11
1792	12	1.203
1793	1	-1.763
1793	2	4.206
1793	3	0.29
1793	4	-0.201
1793	5	-0.179
1793	6	0.537
1793	7	1.395
1793	8	-0.185
1793	9	-0.649
1793	10	-0.03
1793	11	1.218
1793	12	-2.603
1794	1	4.176
1794	2	2.482
1794	3	2.303
1794	4	1.061
1794	5	2.427
1794	6	0.299
1794	7	-0.381
1794	8	-0.572
1794	9	-0.741
1794	10	0.822
1794	11	0.188
1794	12	-2.068
1795	1	-1.218
1795	2	1.206
1795	3	0.709
1795	4	1.415
1795	5	-0.59
1795	6	0.828
1795	7	0.133
1795	8	-0.989
1795	9	-0.626
1795	10	-1.15
1795	11	0.039
1795	12	-0.966
1796	1	3.833
1796	2	0.79
1796	3	-2.482
1796	4	-1.82
1796	5	0.041
1796	6	1.812
1796	7	0.873
1796	8	1.155
1796	9	-0.374
1796	10	0.075
1796	11	-0.795
1796	12	-3.596
1797	1	3.142
1797	2	5.374
1797	3	-0.047
1797	4	-1.544
1797	5	-0.34
1797	6	2.354
1797	7	-0.022
1797	8	0.085
1797	9	2.407
1797	10	0.893
1797	11	-1.212
1797	12	1.397
1798	1	1.944
1798	2	1.313
1798	3	2.103
1798	4	-0.212
1798	5	1.4
1798	6	0.093
1798	7	1.665
1798	8	2.193
1798	9	0.465
1798	10	-0.759
1798	11	-0.932
1798	12	-4.053
1799	1	-1.013
1799	2	-6.721
1799	3	-2.58
1799	4	0.324
1799	5	-0.495
1799	6	1.019
1799	7	0.864
1799	8	0.234
1799	9	0.542
1799	10	0.425
1799	11	1.721
1799	12	-3.904
1800	1	-0.515
1800	2	-0.32
1800	3	-3.575
1800	4	1.157
1800	5	-0.671
1800	6	-0.035
1800	7	-1.599
1800	8	-0.151
1800	9	-1.853
1800	10	0.444
1800	11	1.153
1800	12	1.691
1801	1	1.65
1801	2	-0.589
1801	3	2.723
1801	4	-0.553
1801	5	3.657
1801	6	-0.943
1801	7	1.196
1801	8	-1.848
1801	9	-0.245
1801	10	-0.328
1801	11	1.214
1801	12	1.111
1802	1	0.876
1802	2	1.577
1802	3	3.08
1802	4	0.649
1802	5	-1.39
1802	6	-0.213
1802	7	0.983
1802	8	0.947
1802	9	-0.864
1802	10	1.248
1802	11	-2.07
1802	12	-0.843
1803	1	-6.824
1803	2	-3.412
1803	3	-0.146
1803	4	1.514
1803	5	2.271
1803	6	-0.139
1803	7	0.965
1803	8	2.164
1803	9	-0.11
1803	10	-0.553
1803	11	-0.639
1803	12	-4.767
1804	1	1.394
1804	2	-1.93
1804	3	-2.44
1804	4	1.661
1804	5	0.694
1804	6	-0.169
1804	7	1.978
1804	8	0.623
1804	9	0.959
1804	10	0.08
1804	11	-0.964
1804	12	-4.733
1805	1	-0.106
1805	2	-2.032
1805	3	0.948
1805	4	-1.31
1805	5	-0.393
1805	6	-0.228
1805	7	1.346
1805	8	1.688
1805	9	0.843
1805	10	-4.292
1805	11	-3.4
1805	12	0.856
1806	1	2.974
1806	2	-0.921
